nom;Lien vers la source;Discipline;Date de naissance;Pays;Âge;Fonction;Taille (en cm);Genre;Site de compétition;Latitude;Longitude;Nombre de compétitions;Date de début;Date de fin;Jours de compétitions;Médailles d'or;Médailles d'argent;Médailles de bronze;Record
ACCAME Ilaria Elvira;https://olympics.com/fr/paris-2024/athlete/ilaria-elvira-accame_1552154;Athlétisme;31/08/01;Italie;23;Athlète;175;Femme;Stade de France;48.924475;2.360127;1;09/08/24;09/08/24;1;0;0;0;non
ACERENZA Domenico;https://olympics.com/fr/paris-2024/athlete/domenico-acerenza_1925631;Natation, marathon;19/01/95;Italie;29;Athlète;;Homme;Pont Alexandre III;48.8637;2.3134;1;09/08/24;09/08/24;1;0;0;0;non
ACET Alperen;https://olympics.com/fr/paris-2024/athlete/alperen-acet_1566056;Athlétisme;02/04/98;Türkiye;26;Athlète;189;Homme;Stade de France;48.924475;2.360127;1;07/08/24;07/08/24;1;0;0;0;non
ACETI Vladimir;https://olympics.com/fr/paris-2024/athlete/vladimir-aceti_1552155;Athlétisme;16/10/98;Italie;25;Athlète;185;Homme;Stade de France;48.924475;2.360127;2;09/08/24;10/08/24;2;0;0;0;non
ACEVEDO Javier;https://olympics.com/fr/paris-2024/athlete/javier-acevedo_1967063;Natation;28/01/98;Canada;26;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;4;27/07/24;03/08/24;3;0;0;0;non
ACHA GONZALEZ Pablo;https://olympics.com/fr/paris-2024/athlete/pablo-acha-gonzalez_1563633;Tir à l'arc;04/08/96;Espagne;28;Athlète;;Homme;Invalides;48.85704803;2.312835932;5;25/07/24;02/08/24;3;0;0;0;non
ACHANTA Sharath Kamal;https://olympics.com/fr/paris-2024/athlete/sharath-kamal-achanta_1538151;Tennis de table;12/07/82;Inde;42;Athlète;;Homme;Arena Paris Sud 4;48.830184;2.289033;2;28/07/24;06/08/24;2;0;0;0;non
ACHI-YAO Harold;https://olympics.com/fr/paris-2024/athlete/harold-achi-yao_1910609;Athlétisme;15/05/97;France;27;Athlète;194;Homme;;;;0;;;0;0;0;0;non
ACHONWA Natalie;https://olympics.com/fr/paris-2024/athlete/natalie-achonwa_1974913;Basketball;22/11/92;Canada;31;Athlète;191;Femme;Stade Pierre Mauroy;50.61190661;3.13047318;3;29/07/24;04/08/24;3;0;0;0;non
ACIN Nikola;https://olympics.com/fr/paris-2024/athlete/nikola-acin_1949293;Natation;19/12/99;Serbie;24;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;1;27/07/24;27/07/24;1;0;0;0;non
ACOSTA FERNANDEZ Yasmani;https://olympics.com/fr/paris-2024/athlete/yasmani-acosta-fernandez_1935199;Lutte;16/07/88;Chili;36;Athlète;;Homme;Arena Champ de Mars;48.8531;2.30252;4;05/08/24;06/08/24;2;0;1;0;non
ACOSTA HERRERA Arlettys;https://olympics.com/fr/paris-2024/athlete/arlettys-acosta-herrera_1897078;Taekwondo;25/10/99;Cuba;24;Athlète;;Femme;Grand Palais;48.86616355;2.3125474;1;10/08/24;10/08/24;1;0;0;0;non
ACQUAVIVA Safiatou;https://olympics.com/fr/paris-2024/athlete/safiatou-acquaviva_1922434;Athlétisme;10/03/99;Guinée;25;Athlète;170;Femme;Stade de France;48.924475;2.360127;2;02/08/24;02/08/24;1;0;0;0;non
ADA ETO Sefora;https://olympics.com/fr/paris-2024/athlete/sefora-ada-eto_4986655;Athlétisme;11/06/03;Guinée équatoriale;21;Athlète;165;Femme;Stade de France;48.924475;2.360127;1;02/08/24;02/08/24;1;0;0;0;non
