code,name,discipline,event,color
GRE,TENTOGLOU Miltiadis,Athletics,Men's Long Jump,Gold
JAM,PINNOCK Wayne,Athletics,Men's Long Jump,Silver
ITA,FURLANI Mattia,Athletics,Men's Long Jump,Bronze
USA,THOMAS Gabrielle,Athletics,Women's 200m,Gold
LCA,ALFRED Julien,Athletics,Women's 200m,Silver
USA,BROWN Brittany,Athletics,Women's 200m,Bronze
BRN,YAVI Winfred,Athletics,Women's 3000m Steeplechase,Gold
UGA,CHEMUTAI Peruth,Athletics,Women's 3000m Steeplechase,Silver
KEN,CHEROTICH Faith,Athletics,Women's 3000m Steeplechase,Bronze
CAN,ROGERS Camryn,Athletics,Women's Hammer Throw,Gold
USA,ECHIKUNWOKE Annette Nneka,Athletics,Women's Hammer Throw,Silver
CHN,ZHAO Jie,Athletics,Women's Hammer Throw,Bronze
USA,JONES Omari,Boxing,Men's 71kg,Bronze
GBR,RICHARDSON Lewis,Boxing,Men's 71kg,Bronze
KAZ,KYZAIBAY Nazym,Boxing,Women's 50kg,Bronze
PHI,VILLEGAS Aira,Boxing,Women's 50kg,Bronze
IRL,HARRINGTON Kellie,Boxing,Women's 60kg,Gold
CHN,YANG Wenlu,Boxing,Women's 60kg,Silver
THA,SUWANNAPHENG Janjaem,Boxing,Women's 66kg,Bronze
TPE,CHEN Nien Chin,Boxing,Women's 66kg,Bronze
CHN,QUAN Hongchan,Diving,Women's 10m Platform,Gold
CHN,CHEN Yuxi,Diving,Women's 10m Platform,Silver
PRK,KIM Mi Rae,Diving,Women's 10m Platform,Bronze
GER,KUKUK Christian,Equestrian,Jumping Individual,Gold
SUI,GUERDAT Steve,Equestrian,Jumping Individual,Silver
NED,van der VLEUTEN Maikel,Equestrian,Jumping Individual,Bronze
AUS,TREW Arisa,Skateboarding,Women's Park,Gold
JPN,HIRAKI Cocona,Skateboarding,Women's Park,Silver
GBR,BROWN Sky,Skateboarding,Women's Park,Bronze
CUB,LOPEZ NUNEZ Mijain,Wrestling,Men's Greco-Roman 130kg,Gold
CHI,ACOSTA FERNANDEZ Yasmani,Wrestling,Men's Greco-Roman 130kg,Silver
IRI,MIRZAZADEH Amin,Wrestling,Men's Greco-Roman 130kg,Bronze
CHN,MENG Lingzhe,Wrestling,Men's Greco-Roman 130kg,Bronze
JPN,FUMITA Kenichiro,Wrestling,Men's Greco-Roman 60kg,Gold
CHN,CAO Liguo,Wrestling,Men's Greco-Roman 60kg,Silver
KGZ,SHARSHENBEKOV Zholaman,Wrestling,Men's Greco-Roman 60kg,Bronze
PRK,RI Se Ung,Wrestling,Men's Greco-Roman 60kg,Bronze
USA,ELOR Amit,Wrestling,Women's Freestyle 68kg,Gold
KGZ,ZHUMANAZAROVA Meerim,Wrestling,Women's Freestyle 68kg,Silver
TUR,CAVUSOGLU TOSUN Buse,Wrestling,Women's Freestyle 68kg,Bronze
JPN,OZAKI Nonoka,Wrestling,Women's Freestyle 68kg,Bronze
MAR,EL BAKKALI Soufiane,Athletics,Men's 3000m Steeplechase,Gold
USA,ROOKS Kenneth,Athletics,Men's 3000m Steeplechase,Silver
KEN,KIBIWOT Abraham,Athletics,Men's 3000m Steeplechase,Bronze
USA,HALL Quincy,Athletics,Men's 400m,Gold
GBR,HUDSON-SMITH Matthew,Athletics,Men's 400m,Silver
ZAM,SAMUKONGA Muzala,Athletics,Men's 400m,Bronze
JAM,STONA Roje,Athletics,Men's Discus Throw,Gold
LTU,ALEKNA Mykolas,Athletics,Men's Discus Throw,Silver
AUS,DENNY Matthew,Athletics,Men's Discus Throw,Bronze
AUS,KENNEDY Nina,Athletics,Women's Pole Vault,Gold
USA,MOON Katie,Athletics,Women's Pole Vault,Silver
CAN,NEWMAN Alysha,Athletics,Women's Pole Vault,Bronze
GER,TIAFACK Nelvie Raman,Boxing,Men's +92kg,Bronze
FRA,ABOUDOU MOINDZE Djamili-Dini,Boxing,Men's +92kg,Bronze
CUB,ALVAREZ BORGES Erislandy,Boxing,Men's 63.5kg,Gold
FRA,OUMIHA Sofiane,Boxing,Men's 63.5kg,Silver
UKR,KHYZHNIAK Oleksandr,Boxing,Men's 80kg,Gold
KAZ,ORALBAY Nurbek,Boxing,Men's 80kg,Silver
TUR,YILDIZ KAHRAMAN Esra,Boxing,Women's 57kg,Bronze
PHI,PETECIO Nesthy,Boxing,Women's 57kg,Bronze
AUS,WEARN Matt,Sailing,Men's Dinghy,Gold
CYP,KONTIDES Pavlos,Sailing,Men's Dinghy,Silver
PER,PESCHIERA Stefano,Sailing,Men's Dinghy,Bronze
NED,BOUWMEESTER Marit,Sailing,Women's Dinghy,Gold
DEN,RINDOM Anne-Marie,Sailing,Women's Dinghy,Silver
NOR,HOEST Line Flem,Sailing,Women's Dinghy,Bronze
AUS,PALMER Keegan,Skateboarding,Men's Park,Gold
USA,SCHAAR Tom,Skateboarding,Men's Park,Silver
BRA,AKIO Augusto,Skateboarding,Men's Park,Bronze
POL,MIROSLAW Aleksandra,Sport Climbing,Women's Speed,Gold
CHN,DENG Lijuan,Sport Climbing,Women's Speed,Silver
POL,KALUCKA Aleksandra,Sport Climbing,Women's Speed,Bronze
KOR,PARK Taejoon,Taekwondo,Men -58kg,Gold
AZE,MAGOMEDOV Gashim,Taekwondo,Men -58kg,Silver
FRA,RAVET Cyrian,Taekwondo,Men -58kg,Bronze
TUN,JENDOUBI Mohamed Khalil,Taekwondo,Men -58kg,Bronze
THA,WONGPATTANAKIT Panipak,Taekwondo,Women -49kg,Gold
CHN,GUO Qing,Taekwondo,Women -49kg,Silver
IRI,NEMATZADEH Mobina,Taekwondo,Women -49kg,Bronze
CRO,STOJKOVIC Lena,Taekwondo,Women -49kg,Bronze
CHN,LI Fabin,Weightlifting,Men's 61kg,Gold
THA,SILACHAI Theerapong,Weightlifting,Men's 61kg,Silver
USA,MORRIS Hampton,Weightlifting,Men's 61kg,Bronze
CHN,HOU Zhihui,Weightlifting,Women's 49kg,Gold
ROU,CAMBEI Mihaela Valentina,Weightlifting,Women's 49kg,Silver
THA,KHAMBAO Surodchana,Weightlifting,Women's 49kg,Bronze
JPN,KUSAKA Nao,Wrestling,Men's Greco-Roman 77kg,Gold
KAZ,ZHADRAYEV Demeu,Wrestling,Men's Greco-Roman 77kg,Silver
ARM,AMOYAN Malkhas,Wrestling,Men's Greco-Roman 77kg,Bronze
KGZ,MAKHMUDOV Akzhol,Wrestling,Men's Greco-Roman 77kg,Bronze
IRI,SARAVI Mohammadhadi,Wrestling,Men's Greco-Roman 97kg,Gold
ARM,ALEKSANYAN Artur,Wrestling,Men's Greco-Roman 97kg,Silver
CUB,ROSILLO KINDELAN Gabriel Alejandro,Wrestling,Men's Greco-Roman 97kg,Bronze
KGZ,DZHUZUPBEKOV Uzur,Wrestling,Men's Greco-Roman 97kg,Bronze
USA,HILDEBRANDT Sarah Ann,Wrestling,Women's Freestyle 50kg,Gold
CUB,GUZMAN LOPEZ Yusneylis,Wrestling,Women's Freestyle 50kg,Silver
JPN,SUSAKI Yui,Wrestling,Women's Freestyle 50kg,Bronze
CHN,FENG Ziqi,Wrestling,Women's Freestyle 50kg,Bronze
USA,HOLLOWAY Grant,Athletics,Men's 110m Hurdles,Gold
USA,ROBERTS Daniel,Athletics,Men's 110m Hurdles,Silver
JAM,BROADBELL Rasheed,Athletics,Men's 110m Hurdles,Bronze
BOT,TEBOGO Letsile,Athletics,Men's 200m,Gold
USA,BEDNAREK Kenneth,Athletics,Men's 200m,Silver
USA,LYLES Noah,Athletics,Men's 200m,Bronze
PAK,NADEEM Arshad,Athletics,Men's Javelin Throw,Gold
IND,CHOPRA Neeraj,Athletics,Men's Javelin Throw,Silver
GRN,PETERS Anderson,Athletics,Men's Javelin Throw,Bronze
USA,McLAUGHLIN-LEVRONE Sydney,Athletics,Women's 400m Hurdles,Gold
USA,COCKRELL Anna,Athletics,Women's 400m Hurdles,Silver
NED,BOL Femke,Athletics,Women's 400m Hurdles,Bronze
USA,DAVIS-WOODHALL Tara,Athletics,Women's Long Jump,Gold
GER,MIHAMBO Malaika,Athletics,Women's Long Jump,Silver
USA,MOORE Jasmine,Athletics,Women's Long Jump,Bronze
UZB,DUSMATOV Hasanboy,Boxing,Men's 51kg,Gold
FRA,BENNAMA Billal,Boxing,Men's 51kg,Silver
AUS,SENIOR Charlie,Boxing,Men's 57kg,Bronze
BUL,IBANEZ DIAZ Javier,Boxing,Men's 57kg,Bronze
CHN,CHANG Yuan,Boxing,Women's 54kg,Gold
TUR,AKBAS Hatice,Boxing,Women's 54kg,Silver
AUS,PARKER Caitlin,Boxing,Women's 75kg,Bronze
EOR,DJANKEU NGAMBA Cindy Winner,Boxing,Women's 75kg,Bronze
FRA,THOMAS Benjamin,Cycling Track,Men's Omnium,Gold
POR,LEITAO Iuri,Cycling Track,Men's Omnium,Silver
BEL,van den BOSSCHE Fabio,Cycling Track,Men's Omnium,Bronze
NZL,ANDREWS Ellesse,Cycling Track,Women's Keirin,Gold
NED,van de WOUW Hetty,Cycling Track,Women's Keirin,Silver
GBR,FINUCANE Emma,Cycling Track,Women's Keirin,Bronze
CHN,XIE Siyi,Diving,Men's 3m Springboard,Gold
CHN,WANG Zongyuan,Diving,Men's 3m Springboard,Silver
MEX,OLVERA IBARRA Osmar,Diving,Men's 3m Springboard,Bronze
NED,van ROUWENDAAL Sharon,Marathon Swimming,Women's 10km,Gold
AUS,JOHNSON Moesha,Marathon Swimming,Women's 10km,Silver
ITA,TADDEUCCI Ginevra,Marathon Swimming,Women's 10km,Bronze
GBR,ALDRIDGE Eleanor,Sailing,Women's Kite,Gold
FRA,NOLOT Lauriane,Sailing,Women's Kite,Silver
NED,LAMMERTS Annelous,Sailing,Women's Kite,Bronze
INA,LEONARDO Veddriq,Sport Climbing,Men's Speed,Gold
CHN,WU Peng,Sport Climbing,Men's Speed,Silver
USA,WATSON Sam,Sport Climbing,Men's Speed,Bronze
UZB,RASHITOV Ulugbek,Taekwondo,Men -68kg,Gold
JOR,KAREEM Zaid,Taekwondo,Men -68kg,Silver
CHN,LIANG Yushuai,Taekwondo,Men -68kg,Bronze
BRA,PONTES Edival,Taekwondo,Men -68kg,Bronze
KOR,KIM Yujin,Taekwondo,Women -57kg,Gold
IRI,KIYANICHANDEH Nahid,Taekwondo,Women -57kg,Silver
CAN,PARK Skylar,Taekwondo,Women -57kg,Bronze
BUL,KIMIA Alizadeh,Taekwondo,Women -57kg,Bronze
INA,JUNIANSYAH Rizki,Weightlifting,Men's 73kg,Gold
THA,WICHUMA Weeraphon,Weightlifting,Men's 73kg,Silver
BUL,ANDREEV Bozhidar Dimitrov,Weightlifting,Men's 73kg,Bronze
CHN,LUO Shifang,Weightlifting,Women's 59kg,Gold
CAN,CHARRON Maude,Weightlifting,Women's 59kg,Silver
TPE,KUO Hsing-Chun,Weightlifting,Women's 59kg,Bronze
IRI,ESMAEILI LEIVESI Saeid,Wrestling,Men's Greco-Roman 67kg,Gold
UKR,NASIBOV Parviz,Wrestling,Men's Greco-Roman 67kg,Silver
AZE,JAFAROV Hasrat,Wrestling,Men's Greco-Roman 67kg,Bronze
CUB,ORTA SANCHEZ Luis Alberto,Wrestling,Men's Greco-Roman 67kg,Bronze
BUL,NOVIKOV Semen Sergeevich,Wrestling,Men's Greco-Roman 87kg,Gold
IRI,MOHMADIPIANI Alireza,Wrestling,Men's Greco-Roman 87kg,Silver
UKR,BELENIUK Zhan,Wrestling,Men's Greco-Roman 87kg,Bronze
DEN,BISULTANOV Turpal Ali,Wrestling,Men's Greco-Roman 87kg,Bronze
JPN,FUJINAMI Akari,Wrestling,Women's Freestyle 53kg,Gold
ECU,YEPEZ GUZMAN Lucia Yamileth,Wrestling,Women's Freestyle 53kg,Silver
PRK,CHOE Hyo Gyong,Wrestling,Women's Freestyle 53kg,Bronze
CHN,PANG Qianyu,Wrestling,Women's Freestyle 53kg,Bronze
USA,BENJAMIN Rai,Athletics,Men's 400m Hurdles,Gold
NOR,WARHOLM Karsten,Athletics,Men's 400m Hurdles,Silver
BRA,dos SANTOS Alison,Athletics,Men's 400m Hurdles,Bronze
ESP,DIAZ FORTUN Jordan Alejandro,Athletics,Men's Triple Jump,Gold
POR,PICHARDO Pedro,Athletics,Men's Triple Jump,Silver
ITA,DIAZ HERNANDEZ Andy,Athletics,Men's Triple Jump,Bronze
KEN,CHEBET Beatrice,Athletics,"Women's 10,000m",Gold
ITA,BATTOCLETTI Nadia,Athletics,"Women's 10,000m",Silver
NED,HASSAN Sifan,Athletics,"Women's 10,000m",Bronze
DOM,PAULINO Marileidy,Athletics,Women's 400m,Gold
BRN,NASER Salwa Eid,Athletics,Women's 400m,Silver
POL,KACZMAREK Natalia,Athletics,Women's 400m,Bronze
GER,OGUNLEYE Yemisi,Athletics,Women's Shot Put,Gold
NZL,WESCHE Maddison-Lee,Athletics,Women's Shot Put,Silver
CHN,SONG Jiayuan,Athletics,Women's Shot Put,Bronze
UZB,MUYDINKHUJAEV Asadkhuja,Boxing,Men's 71kg,Gold
MEX,VERDE ALVAREZ Marco Alonso,Boxing,Men's 71kg,Silver
UZB,MULLOJONOV Lazizbek,Boxing,Men's 92kg,Gold
AZE,ALFONSO DOMINGUEZ Loren Berto,Boxing,Men's 92kg,Silver
CHN,WU Yu,Boxing,Women's 50kg,Gold
TUR,CAKIROGLU Buse Naz,Boxing,Women's 50kg,Silver
ALG,KHELIF Imane,Boxing,Women's 66kg,Gold
CHN,YANG Liu,Boxing,Women's 66kg,Silver
JPN,AMI,Breaking,B-Girls,Gold
LTU,NICKA,Breaking,B-Girls,Silver
CHN,671,Breaking,B-Girls,Bronze
CZE,FUKSA Martin,Canoe Sprint,Men's Canoe Single 1000m,Gold
BRA,QUEIROZ Isaquias,Canoe Sprint,Men's Canoe Single 1000m,Silver
MDA,TARNOVSCHI Serghei,Canoe Sprint,Men's Canoe Single 1000m,Bronze
NED,LAVREYSEN Harrie,Cycling Track,Men's Sprint,Gold
AUS,RICHARDSON Matthew,Cycling Track,Men's Sprint,Silver
GBR,CARLIN Jack,Cycling Track,Men's Sprint,Bronze
CHN,CHEN Yiwen,Diving,Women's 3m Springboard,Gold
AUS,KEENEY Maddison,Diving,Women's 3m Springboard,Silver
CHN,CHANG Yani,Diving,Women's 3m Springboard,Bronze
HUN,RASOVSZKY Kristof,Marathon Swimming,Men's 10km,Gold
GER,KLEMET Oliver,Marathon Swimming,Men's 10km,Silver
HUN,BETLEHEM David,Marathon Swimming,Men's 10km,Bronze
AUT,BONTUS Valentin,Sailing,Men's Kite,Gold
SLO,VODISEK Toni,Sailing,Men's Kite,Silver
SGP,MAEDER Maximilian,Sailing,Men's Kite,Bronze
GBR,ROBERTS Toby,Sport Climbing,Men's Boulder & Lead,Gold
JPN,ANRAKU Sorato,Sport Climbing,Men's Boulder & Lead,Silver
AUT,SCHUBERT Jakob,Sport Climbing,Men's Boulder & Lead,Bronze
TUN,KATOUSSI Firas,Taekwondo,Men -80kg,Gold
IRI,BARKHORDARI Mehran,Taekwondo,Men -80kg,Silver
ITA,ALESSIO Simone,Taekwondo,Men -80kg,Bronze
DEN,HRNIC Edi,Taekwondo,Men -80kg,Bronze
HUN,MARTON Viviana,Taekwondo,Women -67kg,Gold
SRB,PERISIC Aleksandra,Taekwondo,Women -67kg,Silver
USA,TEACHOUT Kristina,Taekwondo,Women -67kg,Bronze
BEL,CHAARI Sarah,Taekwondo,Women -67kg,Bronze
BUL,NASAR Karlos May,Weightlifting,Men's 89kg,Gold
COL,LOPEZ Yeison,Weightlifting,Men's 89kg,Silver
ITA,PIZZOLATO Antonino,Weightlifting,Men's 89kg,Bronze
USA,REEVES Olivia,Weightlifting,Women's 71kg,Gold
COL,SANCHEZ Mari Leivis,Weightlifting,Women's 71kg,Silver
ECU,PALACIOS DAJOMES Angie Paola,Weightlifting,Women's 71kg,Bronze
JPN,HIGUCHI Rei,Wrestling,Men's Freestyle 57kg,Gold
USA,LEE Spencer Richard,Wrestling,Men's Freestyle 57kg,Silver
IND,AMAN Aman,Wrestling,Men's Freestyle 57kg,Bronze
UZB,ABDULLAEV Gulomjon,Wrestling,Men's Freestyle 57kg,Bronze
BUL,RAMAZANOV Magomed Eldarovitch,Wrestling,Men's Freestyle 86kg,Gold
IRI,YAZDANICHARATI Hassan,Wrestling,Men's Freestyle 86kg,Silver
USA,BROOKS Aaron Marquel,Wrestling,Men's Freestyle 86kg,Bronze
GRE,KURUGLIEV Dauren,Wrestling,Men's Freestyle 86kg,Bronze
JPN,SAKURAI Tsugumi,Wrestling,Women's Freestyle 57kg,Gold
MDA,NICHITA Anastasia,Wrestling,Women's Freestyle 57kg,Silver
USA,MAROULIS Helen Louise,Wrestling,Women's Freestyle 57kg,Bronze
CHN,HONG Kexin,Wrestling,Women's Freestyle 57kg,Bronze
NOR,INGEBRIGTSEN Jakob,Athletics,Men's 5000m,Gold
KEN,KWEMOI Ronald,Athletics,Men's 5000m,Silver
USA,FISHER Grant,Athletics,Men's 5000m,Bronze
KEN,WANYONYI Emmanuel,Athletics,Men's 800m,Gold
CAN,AROP Marco,Athletics,Men's 800m,Silver
ALG,SEDJATI Djamel,Athletics,Men's 800m,Bronze
NZL,KERR Hamish,Athletics,Men's High Jump,Gold
USA,McEWEN Shelby,Athletics,Men's High Jump,Silver
QAT,BARSHIM Mutaz Essa,Athletics,Men's High Jump,Bronze
ETH,TOLA Tamirat,Athletics,Men's Marathon,Gold
BEL,ABDI Bashir,Athletics,Men's Marathon,Silver
KEN,KIPRUTO Benson,Athletics,Men's Marathon,Bronze
USA,RUSSELL Masai,Athletics,Women's 100m Hurdles,Gold
FRA,SAMBA-MAYELA Cyrena,Athletics,Women's 100m Hurdles,Silver
PUR,CAMACHO-QUINN Jasmine,Athletics,Women's 100m Hurdles,Bronze
KEN,KIPYEGON Faith,Athletics,Women's 1500m,Gold
AUS,HULL Jessica,Athletics,Women's 1500m,Silver
GBR,BELL Georgia,Athletics,Women's 1500m,Bronze
JPN,KITAGUCHI Haruka,Athletics,Women's Javelin Throw,Gold
RSA,van DYK Jo-Ane,Athletics,Women's Javelin Throw,Silver
CZE,OGRODNIKOVA Nikola,Athletics,Women's Javelin Throw,Bronze
UZB,JALOLOV Bakhodir,Boxing,Men's +92kg,Gold
ESP,GHADFA DRISSI EL AISSAOUI Ayoub,Boxing,Men's +92kg,Silver
UZB,KHALOKOV Abdumalik,Boxing,Men's 57kg,Gold
KGZ,SEIITBEK UULU Munarbek,Boxing,Men's 57kg,Silver
TPE,LIN Yu Ting,Boxing,Women's 57kg,Gold
POL,SZEREMETA Julia,Boxing,Women's 57kg,Silver
CHN,LI Qian,Boxing,Women's 75kg,Gold
PAN,BYLON Atheyna Bibeichi,Boxing,Women's 75kg,Silver
CAN,PHIL WIZARD,Breaking,B-Boys,Gold
FRA,DANY DANN,Breaking,B-Boys,Silver
USA,VICTOR,Breaking,B-Boys,Bronze
CZE,DOSTAL Josef,Canoe Sprint,Men's Kayak Single 1000m,Gold
HUN,VARGA Adam,Canoe Sprint,Men's Kayak Single 1000m,Silver
HUN,KOPASZ Balint,Canoe Sprint,Men's Kayak Single 1000m,Bronze
CAN,VINCENT Katie,Canoe Sprint,Women's Canoe Single 200m,Gold
USA,HARRISON Nevin,Canoe Sprint,Women's Canoe Single 200m,Silver
CUB,CIRILO DUBOYS Yarisleidis,Canoe Sprint,Women's Canoe Single 200m,Bronze
NZL,CARRINGTON Lisa,Canoe Sprint,Women's Kayak Single 500m,Gold
HUN,CSIPES Tamara,Canoe Sprint,Women's Kayak Single 500m,Silver
DEN,JORGENSEN Emma Aastrand,Canoe Sprint,Women's Kayak Single 500m,Bronze
CHN,CAO Yuan,Diving,Men's 10m Platform,Gold
JPN,TAMAI Rikuto,Diving,Men's 10m Platform,Silver
GBR,WILLIAMS Noah,Diving,Men's 10m Platform,Bronze
NZL,KO Lydia,Golf,Women's Individual Stroke Play,Gold
GER,HENSELEIT Esther,Golf,Women's Individual Stroke Play,Silver
CHN,LIN Xiyu Janet,Golf,Women's Individual Stroke Play,Bronze
EGY,ELGENDY Ahmed,Modern Pentathlon,Men's Individual,Gold
JPN,SATO Taishu,Modern Pentathlon,Men's Individual,Silver
ITA,MALAN Giorgio,Modern Pentathlon,Men's Individual,Bronze
SLO,GARNBRET Janja,Sport Climbing,Women's Boulder & Lead,Gold
USA,RABOUTOU Brooke,Sport Climbing,Women's Boulder & Lead,Silver
AUT,PILZ Jessica,Sport Climbing,Women's Boulder & Lead,Bronze
IRI,SALIMI Arian,Taekwondo,Men +80kg,Gold
GBR,CUNNINGHAM Caden,Taekwondo,Men +80kg,Silver
CUB,ALBA Rafael,Taekwondo,Men +80kg,Bronze
CIV,CISSE Cheick Sallah,Taekwondo,Men +80kg,Bronze
FRA,LAURIN Althea,Taekwondo,Women +67kg,Gold
UZB,OSIPOVA Svetlana,Taekwondo,Women +67kg,Silver
KOR,LEE Dabin,Taekwondo,Women +67kg,Bronze
TUR,KUS AYDIN Nafia,Taekwondo,Women +67kg,Bronze
GEO,TALAKHADZE Lasha,Weightlifting,Men's +102kg,Gold
ARM,LALAYAN Varazdat,Weightlifting,Men's +102kg,Silver
BRN,MINASYAN Gor,Weightlifting,Men's +102kg,Bronze
CHN,LIU Huanhua,Weightlifting,Men's 102kg,Gold
UZB,DJURAEV Akbar,Weightlifting,Men's 102kg,Silver
AIN,TSIKHANTSOU Yauheni,Weightlifting,Men's 102kg,Bronze
NOR,KOANDA Solfrid Eila Amena,Weightlifting,Women's 81kg,Gold
EGY,AHMED Sara,Weightlifting,Women's 81kg,Silver
ECU,DAJOMES BARRERA Neisi Patricia,Weightlifting,Women's 81kg,Bronze
GEO,PETRIASHVILI Geno,Wrestling,Men's Freestyle 125kg,Gold
IRI,ZARE Amir Hossein,Wrestling,Men's Freestyle 125kg,Silver
TUR,AKGUL Taha,Wrestling,Men's Freestyle 125kg,Bronze
AZE,MESHVILDISHVILI Giorgi,Wrestling,Men's Freestyle 125kg,Bronze
UZB,JAMALOV Razambek Salambekovitch,Wrestling,Men's Freestyle 74kg,Gold
JPN,TAKATANI Daichi,Wrestling,Men's Freestyle 74kg,Silver
USA,DAKE Kyle Douglas,Wrestling,Men's Freestyle 74kg,Bronze
ALB,VALIEV Chermen,Wrestling,Men's Freestyle 74kg,Bronze
JPN,MOTOKI Sakura,Wrestling,Women's Freestyle 62kg,Gold
UKR,KOLIADENKO Iryna,Wrestling,Women's Freestyle 62kg,Silver
KGZ,TYNYBEKOVA Aisuluu,Wrestling,Women's Freestyle 62kg,Bronze
NOR,BULLEN Grace Jacob,Wrestling,Women's Freestyle 62kg,Bronze
NED,HASSAN Sifan,Athletics,Women's Marathon,Gold
ETH,ASSEFA Tigst,Athletics,Women's Marathon,Silver
KEN,OBIRI Hellen,Athletics,Women's Marathon,Bronze
NED,LAVREYSEN Harrie,Cycling Track,Men's Keirin,Gold
AUS,RICHARDSON Matthew,Cycling Track,Men's Keirin,Silver
AUS,GLAETZER Matthew,Cycling Track,Men's Keirin,Bronze
USA,VALENTE Jennifer,Cycling Track,Women's Omnium,Gold
POL,PIKULIK Daria,Cycling Track,Women's Omnium,Silver
NZL,WOLLASTON Ally,Cycling Track,Women's Omnium,Bronze
NZL,ANDREWS Ellesse,Cycling Track,Women's Sprint,Gold
GER,FRIEDRICH Lea,Cycling Track,Women's Sprint,Silver
GBR,FINUCANE Emma,Cycling Track,Women's Sprint,Bronze
HUN,GULYAS Michelle,Modern Pentathlon,Women's Individual,Gold
FRA,CLOUVEL Elodie,Modern Pentathlon,Women's Individual,Silver
KOR,SEONG Seungmin,Modern Pentathlon,Women's Individual,Bronze
CHN,LI Wenwen,Weightlifting,Women's +81kg,Gold
KOR,PARK Hyejeong,Weightlifting,Women's +81kg,Silver
GBR,CAMPBELL Emily,Weightlifting,Women's +81kg,Bronze
JPN,KIYOOKA Kotaro,Wrestling,Men's Freestyle 65kg,Gold
IRI,AMOUZADKHALILI Rahman,Wrestling,Men's Freestyle 65kg,Silver
PUR,RIVERA Sebastian C,Wrestling,Men's Freestyle 65kg,Bronze
ALB,DUDAEV Islam,Wrestling,Men's Freestyle 65kg,Bronze
BRN,TAZHUDINOV Akhmed,Wrestling,Men's Freestyle 97kg,Gold
GEO,MATCHARASHVILI Givi,Wrestling,Men's Freestyle 97kg,Silver
AZE,MAGOMEDOV Magomedkhan,Wrestling,Men's Freestyle 97kg,Bronze
IRI,AZARPIRA Amirali,Wrestling,Men's Freestyle 97kg,Bronze
JPN,KAGAMI Yuka,Wrestling,Women's Freestyle 76kg,Gold
USA,BLADES Kennedy Alexis,Wrestling,Women's Freestyle 76kg,Silver
CUB,MARIN POTRILLE Milaimy de la Carid,Wrestling,Women's Freestyle 76kg,Bronze
COL,RENTERIA RENTERIA Tatiana,Wrestling,Women's Freestyle 76kg,Bronze
GER,VARFOLOMEEV Darja,Rhythmic Gymnastics,Individual All-Around,Gold
BUL,KALEYN Boryana,Rhythmic Gymnastics,Individual All-Around,Silver
ITA,RAFFAELI Sofia,Rhythmic Gymnastics,Individual All-Around,Bronze
BEL,THIAM Nafissatou,Athletics,Women's Heptathlon,Gold
GBR,JOHNSON-THOMPSON Katarina,Athletics,Women's Heptathlon,Silver
BEL,VIDTS Noor,Athletics,Women's Heptathlon,Bronze
CHN,CHANG Yani,Diving,Women's Synchronised 3m Springboard,Gold
CHN,CHEN Yiwen,Diving,Women's Synchronised 3m Springboard,Gold
USA,BACON Sarah,Diving,Women's Synchronised 3m Springboard,Silver
USA,COOK Kassidy,Diving,Women's Synchronised 3m Springboard,Silver
GBR,HARPER Yasmin,Diving,Women's Synchronised 3m Springboard,Bronze
GBR,MEW JENSEN Scarlett,Diving,Women's Synchronised 3m Springboard,Bronze
FRA,PASQUET Varian,Rugby Sevens,Men,Gold
FRA,TIMO Andy,Rugby Sevens,Men,Gold
FRA,REBBADJ Rayan,Rugby Sevens,Men,Gold
FRA,FORNER Theo,Rugby Sevens,Men,Gold
FRA,PAREZ EDO MARTIN Stephen,Rugby Sevens,Men,Gold
FRA,RIVA Paulin,Rugby Sevens,Men,Gold
FRA,JOSEPH Jefferson-Lee,Rugby Sevens,Men,Gold
FRA,ZEGHDAR Antoine,Rugby Sevens,Men,Gold
FRA,GRANDIDIER NKANANG Aaron,Rugby Sevens,Men,Gold
FRA,BARRAQUE Jean Pascal,Rugby Sevens,Men,Gold
FRA,DUPONT Antoine,Rugby Sevens,Men,Gold
FRA,SEPHO Jordan,Rugby Sevens,Men,Gold
FRA,EPEE Nelson,Rugby Sevens,Men,Gold
FIJ,NASOVA Joji,Rugby Sevens,Men,Silver
FIJ,TALACOLO Joseva,Rugby Sevens,Men,Silver
FIJ,MATANA Jeremaia,Rugby Sevens,Men,Silver
FIJ,MOCENACAGI Sevuloni,Rugby Sevens,Men,Silver
FIJ,BALEIWAIRIKI Iosefo,Rugby Sevens,Men,Silver
FIJ,LOGANIMASI Ponipate,Rugby Sevens,Men,Silver
FIJ,VEILAWA Terio Tamani,Rugby Sevens,Men,Silver
FIJ,NACUQU Waisea,Rugby Sevens,Men,Silver
FIJ,TUWAI Jerry,Rugby Sevens,Men,Silver
FIJ,TEBA Iowane,Rugby Sevens,Men,Silver
FIJ,RASAKU Kaminieli,Rugby Sevens,Men,Silver
FIJ,RAVUTAUMADA Selesitino,Rugby Sevens,Men,Silver
FIJ,JOSAIA Raisuqe,Rugby Sevens,Men,Silver
FIJ,SAUTURAGA Filipe,Rugby Sevens,Men,Silver
RSA,GROBBELAAR Christie,Rugby Sevens,Men,Bronze
RSA,OOSTHUIZEN Ryan,Rugby Sevens,Men,Bronze
RSA,VISSER Impi,Rugby Sevens,Men,Bronze
RSA,DAVIDS Zain,Rugby Sevens,Men,Bronze
